,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
27742,Ljubljana,Slovenia,46.1512,14.9955,2020-03-20,341,1,0,340,55
27743,Pretoria,South Africa,-30.5595,22.9375,2020-03-20,202,0,0,202,52
27744,Thimphu,Bhutan,27.5142,90.4336,2020-03-20,2,0,0,2,1
27745,Yaoundé,Cameroon,3.8480000000000003,11.5021,2020-03-20,20,0,0,20,7
27746,Bogotá,Colombia,4.5709,-74.2973,2020-03-20,128,0,1,127,26
27747,San José,Costa Rica,9.7489,-83.7534,2020-03-20,89,1,0,88,20
27748,Lima,Peru,-9.19,-75.0152,2020-03-20,234,3,1,230,0
27749,Belgrade,Serbia,44.0165,21.0059,2020-03-20,135,1,1,133,32
27750,Bratislava,Slovakia,48.669,19.699,2020-03-20,137,1,0,136,14
27751,Lomé,Togo,8.6195,0.8248,2020-03-20,9,0,1,8,8
27752,Valletta,Malta,35.9375,14.3754,2020-03-20,64,0,2,62,11
27753,TBF,Martinique,14.6415,-61.0242,2020-03-20,32,1,0,31,9
27754,Sofia,Bulgaria,42.7339,25.4858,2020-03-20,127,3,0,124,33
27755,Malé,Maldives,3.2028,73.2207,2020-03-20,13,0,0,13,0
27756,Dhaka,Bangladesh,23.685,90.3563,2020-03-20,20,1,3,16,3
27757,Asunción,Paraguay,-23.4425,-58.4438,2020-03-20,13,0,0,13,2
27758,Ontario,Canada,51.2538,-85.3232,2020-03-20,308,2,5,301,51
27759,Alberta,Canada,53.9333,-116.5765,2020-03-20,146,1,0,145,27
27760,Quebec,Canada,52.9399,-73.5491,2020-03-20,139,1,0,138,18
27761,Tirana,Albania,41.1533,20.1683,2020-03-20,70,2,0,68,6
27762,Nicosia,Cyprus,35.1264,33.4299,2020-03-20,67,0,0,67,0
27763,Bandar Seri Begawan,Brunei,4.5353,114.7277,2020-03-20,78,0,1,77,3
27764,Washington,US,47.4009,-121.4905,2020-03-20,1524,83,0,1441,148
27765,New York,US,42.1657,-74.9481,2020-03-20,8310,42,0,8268,2945
27766,California,US,36.1162,-119.6816,2020-03-20,1177,23,0,1154,225
27767,Massachusetts,US,42.2302,-71.5301,2020-03-20,413,1,0,412,85
27768,Diamond Princess,US,35.4437,139.638,2020-03-20,49,0,0,49,2
27769,Grand Princess,US,37.6489,-122.6655,2020-03-20,23,0,0,23,1
27770,Georgia,US,33.0406,-83.6431,2020-03-20,420,13,0,407,133
27771,Colorado,US,39.0598,-105.3111,2020-03-20,363,4,0,359,86
27772,Florida,US,27.7663,-81.6868,2020-03-20,563,10,0,553,146
27773,New Jersey,US,40.2989,-74.521,2020-03-20,890,11,0,879,148
27774,Oregon,US,44.571999999999996,-122.0709,2020-03-20,114,3,0,111,26
27775,Texas,US,31.0545,-97.5635,2020-03-20,394,5,0,389,134
27776,Illinois,US,40.3495,-88.9861,2020-03-20,585,5,0,580,163
27777,Pennsylvania,US,40.5908,-77.2098,2020-03-20,303,1,0,302,97
27778,Iowa,US,42.0115,-93.2105,2020-03-20,45,0,0,45,1
27779,Maryland,US,39.0639,-76.8021,2020-03-20,149,1,0,148,42
27780,North Carolina,US,35.6301,-79.8064,2020-03-20,172,0,0,172,49
27781,South Carolina,US,33.8569,-80.945,2020-03-20,126,1,0,125,45
27782,Tennessee,US,35.7478,-86.6923,2020-03-20,233,0,0,233,79
27783,Virginia,US,37.7693,-78.17,2020-03-20,122,2,0,120,23
27784,Arizona,US,33.7298,-111.4312,2020-03-20,78,0,0,78,33
27785,Indiana,US,39.8494,-86.2583,2020-03-20,86,2,0,84,26
