,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
28001,"Placer County, CA",US,39.0916,-120.8039,2020-03-20,0,0,0,0,0
28002,"San Mateo, CA",US,37.563,-122.3255,2020-03-20,0,0,0,0,0
28003,"Sonoma County, CA",US,38.578,-122.9888,2020-03-20,0,0,0,0,0
28004,"Umatilla, OR",US,45.775,-118.7606,2020-03-20,0,0,0,0,0
28005,"Fulton County, GA",US,33.8034,-84.3963,2020-03-20,0,0,0,0,0
28006,"Washington County, OR",US,45.547,-123.1386,2020-03-20,0,0,0,0,0
28007,"Snohomish County, WA",US,48.033,-121.8339,2020-03-20,0,0,0,0,0
28008,"Humboldt County, CA",US,40.745,-123.8695,2020-03-20,0,0,0,0,0
28009,"Sacramento County, CA",US,38.4747,-121.3542,2020-03-20,0,0,0,0,0
28010,"San Diego County, CA",US,32.7157,-117.1611,2020-03-20,0,0,0,0,0
28011,"San Benito, CA",US,36.5761,-120.9876,2020-03-20,0,0,0,0,0
28012,"Los Angeles, CA",US,34.0522,-118.2437,2020-03-20,0,0,0,0,0
28013,"King County, WA",US,47.6062,-122.3321,2020-03-20,0,0,0,0,0
28014,"Cook County, IL",US,41.7377,-87.6976,2020-03-20,0,0,0,0,0
28015,"Skagit, WA",US,48.4242,-121.7114,2020-03-20,0,0,0,0,0
28016,"Thurston, WA",US,46.8646,-122.7696,2020-03-20,0,0,0,0,0
28017,"Island, WA",US,48.1976,-122.5795,2020-03-20,0,0,0,0,0
28018,"Whatcom, WA",US,48.8787,-121.9719,2020-03-20,0,0,0,0,0
28019,"Marin, CA",US,38.0834,-122.7633,2020-03-20,0,0,0,0,0
28020,"Calaveras, CA",US,38.196,-120.6805,2020-03-20,0,0,0,0,0
28021,"Stanislaus, CA",US,37.5091,-120.9876,2020-03-20,0,0,0,0,0
28022,"San Joaquin, CA",US,36.6066,-120.189,2020-03-20,0,0,0,0,0
28023,"Essex, MA",US,42.632,-70.7829,2020-03-20,0,0,0,0,0
28024,"Charlton, GA",US,30.7917,-82.0843,2020-03-20,0,0,0,0,0
28025,"Collier, FL",US,26.07,-81.4279,2020-03-20,0,0,0,0,0
28026,"Pinellas, FL",US,27.8764,-82.7779,2020-03-20,0,0,0,0,0
28027,"Alachua, FL",US,29.7938,-82.4944,2020-03-20,0,0,0,0,0
28028,"Nassau, FL",US,30.5927,-81.8224,2020-03-20,0,0,0,0,0
28029,"Pasco, FL",US,28.3232,-82.4319,2020-03-20,0,0,0,0,0
28030,"Dallas, TX",US,32.7767,-96.79700000000001,2020-03-20,0,0,0,0,0
28031,"Tarrant, TX",US,32.7732,-97.3517,2020-03-20,0,0,0,0,0
28032,"Montgomery, TX",US,30.3883,-95.6963,2020-03-20,0,0,0,0,0
28033,"Middlesex, NJ",US,40.5726,-74.4927,2020-03-20,0,0,0,0,0
28034,"Jefferson, CO",US,39.58,-105.2663,2020-03-20,0,0,0,0,0
28035,"Multnomah, OR",US,45.5146,-122.5863,2020-03-20,0,0,0,0,0
28036,"Polk, OR",US,44.9267,-123.4919,2020-03-20,0,0,0,0,0
28037,"Deschutes, OR",US,43.8325,-121.2617,2020-03-20,0,0,0,0,0
28038,"McHenry, IL",US,42.3334,-88.2668,2020-03-20,0,0,0,0,0
28039,"Lake, IL",US,42.3689,-87.8272,2020-03-20,0,0,0,0,0
28040,"Bucks, PA",US,40.4108,-75.2479,2020-03-20,0,0,0,0,0
28041,"Hanover, VA",US,37.7772,-77.5161,2020-03-20,0,0,0,0,0
28042,"Lancaster, SC",US,34.7253,-80.6771,2020-03-20,0,0,0,0,0
28043,"Sullivan, TN",US,36.4933,-82.3452,2020-03-20,0,0,0,0,0
28044,"Johnson, IN",US,39.4638,-86.1345,2020-03-20,0,0,0,0,0
28045,"Howard, IN",US,40.4483,-86.1345,2020-03-20,0,0,0,0,0
28046,"St. Joseph, IN",US,41.6228,-86.3377,2020-03-20,0,0,0,0,0
28047,"Knox, NE",US,42.6712,-97.8722,2020-03-20,0,0,0,0,0
28048,"Stark, OH",US,40.8685,-81.2519,2020-03-20,0,0,0,0,0
28049,"Anoka, MN",US,45.3293,-93.2197,2020-03-20,0,0,0,0,0
28050,"Olmsted, MN",US,43.9952,-92.3814,2020-03-20,0,0,0,0,0
28051,"Summit, UT",US,40.8298,-110.9984,2020-03-20,0,0,0,0,0
28052,"Fairfield, CT",US,41.256,-73.3709,2020-03-20,0,0,0,0,0
28053,"Litchfield, CT",US,41.7866,-73.2765,2020-03-20,0,0,0,0,0
28054,"Orleans, LA",US,29.9511,-90.0715,2020-03-20,0,0,0,0,0
28055,"Pennington, SD",US,43.8901,-102.2548,2020-03-20,0,0,0,0,0
28056,"Beadle, SD",US,44.4797,-98.2213,2020-03-20,0,0,0,0,0
28057,"Charles Mix, SD",US,43.0985,-98.3965,2020-03-20,0,0,0,0,0
28058,"Davison, SD",US,43.7242,-98.2213,2020-03-20,0,0,0,0,0
28059,"Minnehaha, SD",US,43.6632,-96.8351,2020-03-20,0,0,0,0,0
28060,"Bon Homme, SD",US,42.9815,-97.8722,2020-03-20,0,0,0,0,0
28061,"Socorro, NM",US,33.8837,-106.7235,2020-03-20,0,0,0,0,0
28062,"Bernalillo, NM",US,35.0178,-106.6291,2020-03-20,0,0,0,0,0
28063,"Oakland, MI",US,42.5922,-83.3362,2020-03-20,0,0,0,0,0
28064,"Wayne, MI",US,42.2791,-83.3362,2020-03-20,0,0,0,0,0
28065,"New Castle, DE",US,39.5393,-75.6674,2020-03-20,0,0,0,0,0
28066,Havana,Cuba,22.0,-80.0,2020-03-20,16,1,0,15,5
28067,Georgetown,Guyana,5.0,-58.75,2020-03-20,7,1,0,6,0
28068,Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-20,6,0,0,6,2
28069,United Kingdom,United Kingdom,55.3781,-3.4360000000000004,2020-03-20,3983,177,65,3741,1294
28070,Astana,Kazakhstan,48.0196,66.9237,2020-03-20,49,3,0,46,5
28071,French Polynesia,France,-17.6797,149.4068,2020-03-20,11,0,0,11,5
28072,Manitoba,Canada,53.7609,-98.8139,2020-03-20,17,0,0,17,0
28073,Saskatchewan,Canada,52.9399,-106.4509,2020-03-20,20,0,0,20,4
28074,Addis Ababa,Ethiopia,9.145,40.4897,2020-03-20,9,0,0,9,3
28075,Khartoum,Sudan,12.8628,30.2176,2020-03-20,2,1,0,1,0
28076,Conakry,Guinea,9.9456,-9.6966,2020-03-20,1,0,0,1,0
28077,Grand Princess,Canada,37.6489,-122.6655,2020-03-20,10,0,0,10,1
28078,Nairobi,Kenya,-0.0236,37.9062,2020-03-20,7,0,0,7,0
28079,St. John's,Antigua and Barbuda,17.0608,-61.7964,2020-03-20,1,0,0,1,0
28080,Alabama,US,32.3182,-86.9023,2020-03-20,83,0,0,83,5
28081,Montevideo,Uruguay,-32.5228,-55.7658,2020-03-20,94,0,0,94,15
28082,Accra,Ghana,7.9465,-1.0232,2020-03-20,16,0,0,16,5
28083,Puerto Rico,US,18.2208,-66.5901,2020-03-20,14,0,0,14,9
28084,Windhoek,Namibia,-22.9576,18.4904,2020-03-20,3,0,0,3,0
28085,Victoria,Seychelles,-4.6796,55.492,2020-03-20,7,0,0,7,1
28086,Port of Spain,Trinidad and Tobago,10.6918,-61.2225,2020-03-20,9,0,0,9,0
28087,Caracas,Venezuela,6.4238,-66.5897,2020-03-20,42,0,0,42,0
28088,TBF,Eswatini,-26.5225,31.4659,2020-03-20,1,0,0,1,0
28089,Libreville,Gabon,-0.8037,11.6094,2020-03-20,3,1,0,2,2
28090,Guatemala City,Guatemala,15.7835,-90.2308,2020-03-20,12,1,0,11,3
28091,Nouakchott,Mauritania,21.0079,10.9408,2020-03-20,2,0,0,2,0
28092,Kigali,Rwanda,-1.9403,29.8739,2020-03-20,17,0,0,17,9
28093,Castries,Saint Lucia,13.9094,-60.9789,2020-03-20,2,0,0,2,0
28094,Kingstown,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-03-20,1,0,0,1,0
28095,Paramaribo,Suriname,3.9193,-56.0278,2020-03-20,4,0,0,4,3
28096,French Guiana,France,3.9339,-53.1258,2020-03-20,15,0,0,15,4
28097,Guam,US,13.4443,144.7937,2020-03-20,14,0,0,14,2
28098,Pristina,Kosovo,42.6026,20.903000000000002,2020-03-20,2,0,0,2,0
28099,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-03-20,4,0,0,4,1
28100,Prince Edward Island,Canada,46.5107,-63.4168,2020-03-20,2,0,0,2,0
28101,Bangui,Central African Republic,6.6111,20.9394,2020-03-20,3,0,0,3,2
28102,TBF,Congo (Brazzaville),-4.0383,21.7587,2020-03-20,3,0,0,3,0
28103,Malabo,Equatorial Guinea,1.5,10.0,2020-03-20,6,0,0,6,0
28104,Mayotte,France,-12.8275,45.1662,2020-03-20,6,0,0,6,3
28105,Tashkent,Uzbekistan,41.3775,64.5853,2020-03-20,33,0,0,33,10
28106,Netherlands,Netherlands,52.1326,5.2913,2020-03-20,2994,106,2,2886,534
28107,Nova Scotia,Canada,44.681999999999995,-63.7443,2020-03-20,15,0,0,15,1
28108,Guadeloupe,France,16.25,-61.5833,2020-03-20,45,0,0,45,12
28109,Porto-Novo,Benin,9.3077,2.3158,2020-03-20,2,0,0,2,0
28110,Monrovia,Liberia,6.4281,-9.4295,2020-03-20,2,0,0,2,0
28111,Curacao,Netherlands,12.1696,-68.99,2020-03-20,3,1,0,2,0
28112,Mogadishu,Somalia,5.1521,46.1996,2020-03-20,1,0,0,1,0
28113,Dodoma,Tanzania,-6.369,34.8888,2020-03-20,6,0,0,6,0
28114,Virgin Islands,US,18.3358,-64.8963,2020-03-20,3,0,0,3,0
28115,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-03-20,3,1,0,2,0
28116,Reunion,France,-21.1351,55.2471,2020-03-20,28,0,0,28,14
28117,Bridgetown,Barbados,13.1939,-59.5432,2020-03-20,5,0,0,5,0
28118,Podgorica,Montenegro,42.5,19.3,2020-03-20,14,0,0,14,11
28119,Bishkek,Kyrgyzstan,41.2044,74.7661,2020-03-20,6,0,0,6,3
28120,Port Louis,Mauritius,-20.2,57.5,2020-03-20,12,0,0,12,9
28121,Aruba,Netherlands,12.5186,-70.0358,2020-03-20,5,0,0,5,1
28122,Lusaka,Zambia,-15.4167,28.2833,2020-03-20,2,0,0,2,0
28123,Djibouti,Djibouti,11.8251,42.5903,2020-03-20,1,0,0,1,0
28124,TBF,"Gambia, The",13.4432,-15.3101,2020-03-20,1,0,0,1,0
28125,Montserrat,United Kingdom,16.7425,-62.1874,2020-03-20,1,0,0,1,0
28126,TBF,"Bahamas, The",25.0343,-77.3963,2020-03-20,3,0,0,3,0
28127,Greenland,Denmark,71.7069,-42.6043,2020-03-20,2,0,0,2,0
28128,New Caledonia,France,-20.9043,165.618,2020-03-20,2,0,0,2,0
28129,Bermuda,United Kingdom,32.3078,-64.7505,2020-03-20,2,0,0,2,0
28130,N'Djamena,Chad,15.4542,18.7322,2020-03-20,1,0,0,1,0
28131,San Salvador,El Salvador,13.7942,-88.8965,2020-03-20,1,0,0,1,0
28132,Suva,Fiji,-17.7134,178.065,2020-03-20,1,0,0,1,0
28133,Managua,Nicaragua,12.8654,-85.2072,2020-03-20,1,0,0,1,0
28134,Antananarivo,Madagascar,-18.7669,46.8691,2020-03-20,3,0,0,3,3
28135,Port-au-Prince,Haiti,18.9712,-72.2852,2020-03-20,2,0,0,2,2
28136,Luanda,Angola,-11.2027,17.8739,2020-03-20,1,0,0,1,1
28137,TBF,Cabo Verde,16.5388,-23.0418,2020-03-20,1,0,0,1,1
28138,Sint Maarten,Netherlands,18.0425,-63.0548,2020-03-20,1,0,0,1,1
28139,Niamey,Niger,17.6078,8.0817,2020-03-20,1,0,0,1,1
28140,Port Moresby,Papua New Guinea,-6.315,143.9555,2020-03-20,1,0,0,1,1
28141,Isle of Man,United Kingdom,54.2361,-4.5481,2020-03-20,1,0,0,1,1
28142,Harare,Zimbabwe,-20.0,30.0,2020-03-20,1,0,0,1,1
