,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active
15692,Liaoning,China,41.2956,122.6085,2020-03-25,127.0,2.0,124.0,1.0
15693,Macau,China,22.1667,113.55,2020-03-25,30.0,0.0,10.0,20.0
15694,Ningxia,China,37.2692,106.1655,2020-03-25,75.0,0.0,75.0,0.0
15695,Qinghai,China,35.7452,95.9956,2020-03-25,18.0,0.0,18.0,0.0
15696,Shaanxi,China,35.1917,108.8701,2020-03-25,250.0,3.0,240.0,7.0
15697,Shandong,China,36.3427,118.1498,2020-03-25,769.0,7.0,752.0,10.0
15698,Shanghai,China,31.202,121.4491,2020-03-25,433.0,5.0,330.0,98.0
15699,Shanxi,China,37.5777,112.2922,2020-03-25,134.0,0.0,133.0,1.0
15700,Sichuan,China,30.6171,102.7103,2020-03-25,547.0,3.0,536.0,8.0
15701,Tianjin,China,39.3054,117.323,2020-03-25,145.0,3.0,133.0,9.0
15702,Tibet,China,31.6927,88.0924,2020-03-25,1.0,0.0,1.0,0.0
15703,Xinjiang,China,41.1129,85.2401,2020-03-25,76.0,3.0,73.0,0.0
15704,Yunnan,China,24.974,101.487,2020-03-25,176.0,2.0,172.0,2.0
15705,Zhejiang,China,29.1832,120.0934,2020-03-25,1241.0,1.0,1221.0,19.0
15706,Bogotá,Colombia,4.5709,-74.2973,2020-03-25,470.0,4.0,8.0,458.0
15707,TBF,Congo (Brazzaville),-4.0383,21.7587,2020-03-25,4.0,0.0,0.0,4.0
15708,TBF,Congo (Kinshasa),-4.0383,21.7587,2020-03-25,48.0,2.0,0.0,46.0
15709,San José,Costa Rica,9.7489,-83.7534,2020-03-25,201.0,2.0,2.0,197.0
15710,TBF,Cote d'Ivoire,7.54,-5.5471,2020-03-25,80.0,0.0,3.0,77.0
15711,Zagreb,Croatia,45.1,15.2,2020-03-25,442.0,1.0,22.0,419.0
15712,TBF,Diamond Princess,0.0,0.0,2020-03-25,712.0,10.0,587.0,115.0
15713,Havana,Cuba,22.0,-80.0,2020-03-25,57.0,1.0,1.0,55.0
15714,Nicosia,Cyprus,35.1264,33.4299,2020-03-25,132.0,3.0,3.0,126.0
15715,TBF,Czechia,49.8175,15.473,2020-03-25,1654.0,6.0,10.0,1638.0
15716,Faroe Islands,Denmark,61.8926,-6.9118,2020-03-25,132.0,0.0,38.0,94.0
15717,Greenland,Denmark,71.7069,-42.6043,2020-03-25,6.0,0.0,2.0,4.0
15718,Copenhagen,Denmark,56.2639,9.5018,2020-03-25,1724.0,34.0,1.0,1689.0
15719,Djibouti,Djibouti,11.8251,42.5903,2020-03-25,11.0,0.0,0.0,11.0
15720,Santo Domingo,Dominican Republic,18.7357,-70.1627,2020-03-25,392.0,10.0,3.0,379.0
15721,Quito,Ecuador,-1.8312,-78.1834,2020-03-25,1173.0,28.0,3.0,1142.0
15722,Cairo,Egypt,26.0,30.0,2020-03-25,456.0,21.0,95.0,340.0
15723,San Salvador,El Salvador,13.7942,-88.8965,2020-03-25,9.0,0.0,0.0,9.0
15724,Malabo,Equatorial Guinea,1.5,10.0,2020-03-25,9.0,0.0,0.0,9.0
15725,Asmara,Eritrea,15.1794,39.7823,2020-03-25,4.0,0.0,0.0,4.0
15726,Tallinn,Estonia,58.5953,25.0136,2020-03-25,404.0,1.0,8.0,395.0
15727,TBF,Eswatini,-26.5225,31.4659,2020-03-25,4.0,0.0,0.0,4.0
15728,Addis Ababa,Ethiopia,9.145,40.4897,2020-03-25,12.0,0.0,0.0,12.0
15729,Suva,Fiji,-17.7134,178.065,2020-03-25,5.0,0.0,0.0,5.0
15730,Helsinki,Finland,64.0,26.0,2020-03-25,880.0,3.0,10.0,867.0
15731,French Guiana,France,3.9339,-53.1258,2020-03-25,28.0,0.0,6.0,22.0
15732,French Polynesia,France,-17.6797,149.4068,2020-03-25,25.0,0.0,0.0,25.0
15733,Guadeloupe,France,16.25,-61.5833,2020-03-25,73.0,1.0,0.0,72.0
15734,Mayotte,France,-12.8275,45.1662,2020-03-25,36.0,0.0,0.0,36.0
15735,New Caledonia,France,-20.9043,165.618,2020-03-25,14.0,0.0,0.0,14.0
15736,Reunion,France,-21.1351,55.2471,2020-03-25,111.0,0.0,1.0,110.0
15737,Saint Barthelemy,France,17.9,-62.8333,2020-03-25,3.0,0.0,0.0,3.0
15738,St Martin,France,18.0708,-63.0501,2020-03-25,11.0,0.0,0.0,11.0
15739,Martinique,France,14.6415,-61.0242,2020-03-25,66.0,1.0,0.0,65.0
15740,Paris,France,46.2276,2.2137,2020-03-25,25233.0,1331.0,3900.0,20002.0
15741,Libreville,Gabon,-0.8037,11.6094,2020-03-25,6.0,1.0,0.0,5.0
15742,Banjul,Gambia,13.4432,-15.3101,2020-03-25,3.0,1.0,0.0,2.0
15743,Tbilisi,Georgia,42.3154,43.3569,2020-03-25,75.0,0.0,10.0,65.0
